,x,y,num,mag_auto,merr_auto,mag_iso,merr_iso,mag_iso_1,magerr_iso,kron,backgr,ra,dec,a,b,theta,mu0,flag,fwhm,flxrad,cl
695,2614.1765,2473.8076,696,18.3138,0.0015,18.4598,0.0016,18.4371,0.0016,3.5,0.02548897,110.826808,-73.4546391,21.422,20.411,37.61,18.5436,3,8.02,22.711,0.029
856,2387.3083,2400.0132,857,19.9124,0.0025,19.895,0.0027,19.8799,0.0027,3.5,0.01400377,110.8400861,-73.455869,7.037,6.742,-37.96,18.0864,3,5.16,4.733,0.034
861,2357.3503,2350.1982,862,21.2653,0.0092,21.3176,0.008,21.2545,0.0078,3.5,0.006772642,110.84184,-73.4566992,8.925,7.963,-66.15,21.32,3,18.14,10.388,0.026
862,2513.6921,2337.46,863,20.4277,0.0031,20.396,0.0034,20.3814,0.0034,3.5,0.008863135,110.8326888,-73.4569117,5.536,4.661,55.32,18.3169,3,4.93,3.864,0.178
876,2442.8674,2361.2419,877,20.8577,0.0046,20.8785,0.0046,20.8591,0.0046,3.5,0.01200288,110.8368344,-73.4565153,7.514,5.119,51.74,19.2268,3,5.34,6.04,0.03
910,2429.7256,2381.1589,911,20.2423,0.0029,20.2433,0.003,20.2308,0.003,3.5,0.01386506,110.8376035,-73.4561833,5.957,5.592,50.53,18.4274,3,5.11,4.65,0.034
914,2341.196,2471.9204,915,21.9417,0.0125,21.9629,0.0104,21.9052,0.0102,3.6,0.01393119,110.8427844,-73.4546704,14.375,2.475,-86.76,20.8965,2,26.23,9.37,0.028
922,2452.2952,2339.4592,923,22.0281,0.0123,22.0769,0.0104,22.0323,0.0102,3.5,0.009127299,110.8362826,-73.4568783,5.527,5.519,14.05,20.8331,3,9.62,6.123,0.029
927,2302.9583,2429.6406,928,18.0357,0.0009,17.9863,0.0009,17.9838,0.0009,3.5,0.009871894,110.8450228,-73.455375,4.024,3.832,-55.01,14.8295,4,4.72,2.011,0.998
938,2466.3831,2410.0161,939,19.7835,0.0019,19.7374,0.0022,19.7307,0.0022,3.5,0.01884421,110.8354579,-73.4557024,3.771,3.612,19.61,16.8455,2,3.83,2.168,0.999
940,2550.2112,2375.7871,941,22.6478,0.0188,22.694,0.0162,22.6141,0.0157,3.5,0.01432592,110.8305514,-73.4562729,6.403,3.672,-79.41,21.2387,2,8.19,5.758,0.026
944,2664.0618,2305.3721,945,25.3167,0.2241,26.0242,0.1267,25.4253,0.1024,7.41,0.006547798,110.8238868,-73.4574462,3.404,1.717,-57.84,23.9247,2,14.5,6.442,0.005
945,2510.2314,2317.0977,946,24.0772,0.0415,24.3751,0.0353,24.2975,0.0342,3.78,0.008092816,110.8328914,-73.457251,3.857,2.104,-65.29,22.5971,3,11.87,4.315,0.01
954,2676.1292,2350.5684,955,25.4937,0.1968,25.449,0.0896,25.0501,0.078,5.43,0.009567913,110.8231809,-73.4566929,2.856,2.054,80.02,23.4232,2,9.46,3.593,0.003
956,2301.0974,2328.052,957,25.3839,0.1134,25.6528,0.0933,25.3451,0.0835,3.52,0.003010141,110.8451329,-73.4570681,3.233,1.726,80.3,23.1665,0,8.98,4.032,0.144
961,2310.3328,2355.9124,962,22.6936,0.0177,22.6909,0.0155,22.6229,0.0151,3.78,0.005556647,110.844592,-73.4566038,4.667,3.454,-0.38,20.8043,2,5.97,4.107,0.027
969,2532.7527,2443.3538,970,21.8296,0.0236,21.9494,0.0141,21.7926,0.0133,3.5,0.02046261,110.8315734,-73.4551468,18.99,9.409,-0.89,21.7108,3,54.61,20.112,0.001
976,2376.7805,2419.9434,977,22.4891,0.0177,22.6954,0.0151,22.6339,0.0148,3.56,0.01446249,110.8407022,-73.4555368,8.269,4.349,66.67,22.0039,3,22.46,7.391,0.021
978,2524.6775,2360.9124,979,23.7141,0.038,23.8248,0.0289,23.7275,0.0278,3.72,0.01319251,110.8320459,-73.4565208,3.932,3.139,3.72,21.9629,3,7.52,4.346,0.02
