,id,RA,Dec,x,y,fwhm,area,stel,ell,theta,nf5sig,nfobs,f435w_mag,f435w_magerr,f435w_flux,f435w_fluxerr,f435w_fluxnJy,f435w_fluxnJyerr,f435w_sig,f606w_mag,f606w_magerr,f606w_flux,f606w_fluxerr,f606w_fluxnJy,f606w_fluxnJyerr,f606w_sig,f814w_mag,f814w_magerr,f814w_flux,f814w_fluxerr,f814w_fluxnJy,f814w_fluxnJyerr,f814w_sig,f105w_mag,f105w_magerr,f105w_flux,f105w_fluxerr,f105w_fluxnJy,f105w_fluxnJyerr,f105w_sig,f125w_mag,f125w_magerr,f125w_flux,f125w_fluxerr,f125w_fluxnJy,f125w_fluxnJyerr,f125w_sig,f140w_mag,f140w_magerr,f140w_flux,f140w_fluxerr,f140w_fluxnJy,f140w_fluxnJyerr,f140w_sig,f160w_mag,f160w_magerr,f160w_flux,f160w_fluxerr,f160w_fluxnJy,f160w_fluxnJyerr,f160w_sig,bright_mag,bright_magerr,zb,zbmin,zbmax,tb,odds,chisq,chisq2,M0,zml,tml
628,629,110.8405974,-73.4510474,2378.54,2689.307,0.97,473,0.03,0.754,71.5,7,7,24.0045,0.0781,4.6127,0.3443,908.2579,67.7841,13.4,23.5721,0.0286,14.8251,0.396,1352.5388,36.129,37.44,23.1519,0.0272,13.102,0.3327,1991.709,50.5756,39.38,22.4993,0.0174,32.198,0.5199,3633.0358,58.6594,61.93,22.3265,0.0248,36.4356,0.8418,4259.9765,98.4261,43.28,22.2839,0.0196,46.4962,0.8469,4430.5609,80.6958,54.9,22.1628,0.0122,32.6131,0.3672,4953.0154,55.7598,88.83,22.1751,27.0342,1.222,1.155,1.343,8.4,0.913,1.424,0.128,23.152,1.22,8.4
629,630,110.8411064,-73.4515547,2369.844,2658.87,0.605,22,0.0,0.522,72.6,1,7,99.0,28.4071,-0.049,0.08,-9.6473,15.7449,-0.61,29.0534,0.7518,0.0952,0.095,8.6821,8.6702,1.0,27.8994,0.418,0.1653,0.0776,25.132,11.8015,2.13,27.405,0.2951,0.3512,0.1097,39.6293,12.3755,3.2,26.5346,0.2381,0.7556,0.1852,88.3375,21.6586,4.08,26.8099,0.2451,0.7195,0.1822,68.557,17.3601,3.95,26.572,0.1393,0.562,0.0769,85.3521,11.6846,7.3,26.7318,28.731,1.002,0.436,5.3,6.3,0.142,0.276,0.405,27.899,0.85,6.0
635,636,110.8385802,-73.4509557,2413.012,2694.813,0.651,227,0.02,0.172,-64.7,7,7,24.6261,0.0961,2.6021,0.2409,512.3572,47.431,10.8,24.269,0.0366,7.8026,0.2676,711.8556,24.4184,29.15,24.0892,0.0424,5.5261,0.2203,840.0584,33.4906,25.08,23.6593,0.0331,11.0617,0.3422,1248.1427,38.6084,32.33,23.6117,0.0527,11.1542,0.5544,1304.1276,64.8232,20.12,23.6232,0.0433,13.5419,0.5511,1290.3902,52.5131,24.57,23.5601,0.0279,9.0049,0.2348,1367.5879,35.6567,38.35,23.5888,27.5196,0.047,0.014,1.134,7.7,0.751,1.579,0.547,24.089,0.01,7.6
652,653,110.8227296,-73.4518035,2683.892,2643.933,2.492,130,0.0,0.357,-72.3,6,7,99.0,27.154,-0.2704,0.2536,-53.2419,49.936,-1.07,25.6406,0.1188,2.2059,0.255,201.253,23.2632,8.65,25.7942,0.1779,1.1493,0.2047,174.7118,31.1135,5.62,24.9811,0.0958,3.2742,0.3019,369.4433,34.069,10.84,24.6987,0.1242,4.0987,0.4968,479.2133,58.0795,8.25,24.6719,0.0984,5.1547,0.4893,491.1887,46.6203,10.54,24.5117,0.0584,3.7485,0.2073,569.2943,31.4766,18.09,24.5734,27.655,1.553,0.208,3.206,8.5,0.293,2.003,1.543,25.794,1.56,8.5
653,654,110.8236935,-73.4518167,2667.42,2643.144,1.817,614,0.03,0.684,-71.1,7,7,23.7295,0.0777,5.942,0.4406,1169.985,86.7461,13.49,23.3212,0.0263,18.6788,0.4579,1704.1295,41.7717,40.8,22.949,0.0248,15.7948,0.3649,2401.0582,55.4755,43.28,22.2899,0.016,39.0478,0.5805,4405.9277,65.502,67.26,22.1408,0.023,43.2319,0.9251,5054.5918,108.1665,46.73,22.0884,0.0182,55.6649,0.9416,5304.237,89.7225,59.12,22.0248,0.0117,37.0334,0.401,5624.3346,60.8947,92.36,22.0366,26.9386,1.258,1.172,1.359,8.6,0.941,1.879,0.227,22.949,1.26,8.6
654,655,110.8230243,-73.4522383,2678.852,2617.846,1.484,265,0.03,0.458,-57.7,7,7,23.5634,0.0412,6.9244,0.268,1363.429,52.7637,25.84,23.3524,0.0162,18.1512,0.2729,1655.9895,24.8945,66.52,23.1929,0.019,12.6165,0.2227,1917.9144,33.8475,56.66,22.8568,0.017,23.1647,0.3655,2613.7731,41.2429,63.38,22.7619,0.0253,24.3976,0.5748,2852.5146,67.2078,42.44,22.6817,0.0197,32.2314,0.5906,3071.2861,56.2752,54.58,22.6648,0.0135,20.5403,0.2562,3119.4931,38.9115,80.17,22.6784,27.4248,1.125,1.097,1.281,9.8,0.879,2.587,0.368,23.193,1.13,9.8
655,656,110.8222252,-73.4526676,2692.502,2592.085,2.014,842,0.03,0.704,-58.4,7,7,23.6471,0.0828,6.4108,0.5081,1262.2949,100.0519,12.62,23.1097,0.025,22.6979,0.5286,2070.8051,48.2266,42.94,22.6615,0.0214,20.5831,0.4095,3128.9581,62.254,50.26,22.0353,0.0145,49.3655,0.6624,5570.1175,74.7441,74.52,21.8545,0.0204,56.275,1.0685,6579.5635,124.9225,52.67,21.835,0.0164,70.298,1.0694,6698.6099,101.9034,65.73,21.7594,0.0105,47.2882,0.4607,7181.7544,69.9732,102.64,21.7701,26.7877,1.117,1.071,1.262,8.3,0.743,3.216,0.31,22.662,1.12,8.3
672,673,110.8356328,-73.4517295,2463.386,2648.388,0.493,26,0.26,0.462,72.7,6,7,26.0342,0.1405,0.7113,0.0983,140.0613,19.3528,7.24,26.0291,0.075,1.5424,0.1102,140.7173,10.0583,13.99,26.3031,0.1307,0.7192,0.092,109.3349,13.987,7.82,26.1434,0.1281,1.1226,0.1406,126.6657,15.8677,7.98,26.2006,0.2161,1.0278,0.2263,120.1626,26.4619,4.54,26.156,0.1736,1.3138,0.2277,125.1933,21.7008,5.77,26.2423,0.1252,0.7614,0.0931,115.6328,14.1361,8.18,26.1097,28.8937,1.674,1.146,2.802,10.6,0.325,0.201,0.31,26.303,1.81,10.7
678,679,110.8344704,-73.4518211,2483.25,2642.895,0.26,29,0.9,0.046,-58.5,4,7,28.8993,1.1196,0.0508,0.0917,10.0061,18.0547,0.55,27.6519,0.2857,0.346,0.1041,31.5666,9.5007,3.32,26.3277,0.1265,0.7031,0.0869,106.8866,13.2133,8.09,26.4044,0.1432,0.8827,0.1244,99.5962,14.0381,7.09,26.3842,0.2288,0.8679,0.2036,101.4697,23.8081,4.26,26.031,0.1419,1.4742,0.2058,140.4776,19.6071,7.16,26.0206,0.0952,0.9339,0.0856,141.8256,13.001,10.91,26.125,28.6151,4.357,0.332,4.726,8.6,0.347,0.438,0.499,26.328,4.35,8.6
689,690,110.8248283,-73.4521975,2648.025,2620.3,0.704,134,0.0,0.223,20.3,6,7,25.5953,0.2254,1.0656,0.2459,209.8266,48.4169,4.33,26.198,0.1751,1.3203,0.231,120.4534,21.0747,5.72,25.0092,0.0872,2.3683,0.1981,360.0151,30.1213,11.95,24.8113,0.0778,3.8287,0.2843,432.0035,32.078,13.47,24.9337,0.1418,3.301,0.4605,385.9478,53.8387,7.17,24.6584,0.0918,5.219,0.4605,497.3076,43.8763,11.33,24.5229,0.0553,3.7099,0.194,563.4322,29.4649,19.12,24.5812,27.7267,0.848,0.545,1.12,8.3,0.434,1.991,1.669,25.009,0.86,8.4
