,id,location,morphology,ra,dec,x,y,p_sph,p_disk,p_irr,p_ps,real_x,real_y
0,1,"[341, 1428]","[0.0016573647025177258, 0.0021817991734690892, 0.007242058765746459, 0.9889187773582667]",110.8493715138872,-73.47683539167001,1428.0,341.0,0.0016573647025177258,0.0021817991734690892,0.007242058765746459,0.9889187773582667,2228.0,1141.0
1,2,"[370, 1419]","[0.7436354202638189, 0.000780372975141567, 5.388103566863193e-05, 0.2555303257253709]",110.84989846793836,-73.47635201790843,1419.0,370.0,0.7436354202638189,0.000780372975141567,5.388103566863193e-05,0.2555303257253709,2219.0,1170.0
2,3,"[409, 1606]","[0.08989809332819902, 0.029671867713086462, 0.0015160166758726786, 0.8789140222828419]",110.83893994296949,-73.47570258795027,1606.0,409.0,0.08989809332819902,0.029671867713086462,0.0015160166758726786,0.8789140222828419,2406.0,1209.0
3,4,"[478, 1798]","[0.00010179398054179144, 0.9881299428262994, 0.011768263193158813, 0.0]",110.82768944545379,-73.47455257869682,1798.0,478.0,0.00010179398054179144,0.9881299428262994,0.011768263193158813,0.0,2598.0,1278.0
4,5,"[480, 1727]","[5.115303287620794e-06, 0.7866715906354904, 0.20541820331413968, 0.007905090747082299]",110.83184965257708,-73.47451931903831,1727.0,480.0,5.115303287620794e-06,0.7866715906354904,0.20541820331413968,0.007905090747082299,2527.0,1280.0
5,6,"[484, 1358]","[0.050453212455331166, 0.06542610651996632, 0.8530979262039047, 0.03102275482079784]",110.8534708725565,-73.47445170875369,1358.0,484.0,0.050453212455331166,0.06542610651996632,0.8530979262039047,0.03102275482079784,2158.0,1284.0
6,7,"[515, 1570]","[0.040719100571250104, 0.9334980327541014, 0.015102243864356456, 0.010680622810292112]",110.84104869933321,-73.47393585622687,1570.0,515.0,0.040719100571250104,0.9334980327541014,0.015102243864356456,0.010680622810292112,2370.0,1315.0
7,8,"[539, 1780]","[0.0011229652451338122, 0.038675409888499865, 0.005360866057398219, 0.9548407588089681]",110.82874442883194,-73.47353593862701,1780.0,539.0,0.0011229652451338122,0.038675409888499865,0.005360866057398219,0.9548407588089681,2580.0,1339.0
8,9,"[586, 1404]","[0.00016599615136155574, 0.0015098836762733802, 0.0003479311917578666, 0.9979761889806072]",110.85077381709314,-73.47275194805158,1404.0,586.0,0.00016599615136155574,0.0015098836762733802,0.0003479311917578666,0.9979761889806072,2204.0,1386.0
9,10,"[565, 1654]","[0.393783816720289, 3.1393920792863014e-05, 0.5720787556712283, 0.034106033687689746]",110.83612681726368,-73.47310264239992,1654.0,565.0,0.393783816720289,3.1393920792863014e-05,0.5720787556712283,0.034106033687689746,2454.0,1365.0
10,11,"[624, 1254]","[0.016012230059576096, 0.0, 0.0, 0.9839877699404239]",110.8595610775024,-73.47211770806136,1254.0,624.0,0.016012230059576096,0.0,0.0,0.9839877699404239,2054.0,1424.0
11,12,"[646, 1476]","[0.9369934934520454, 0.06203536162680754, 0.0006084732806214739, 0.00036267164052559796]",110.84655469730336,-73.4717522528571,1476.0,646.0,0.9369934934520454,0.06203536162680754,0.0006084732806214739,0.00036267164052559796,2276.0,1446.0
12,13,"[648, 1840]","[0.9113198300231831, 0.08415357563556178, 0.002049012517950694, 0.0024775818233044853]",110.8252298564259,-73.47171916334737,1840.0,648.0,0.9113198300231831,0.08415357563556178,0.002049012517950694,0.0024775818233044853,2640.0,1448.0
