,id,location,morphology,ra,dec,x,y,p_sph,p_disk,p_irr,p_ps,real_x,real_y
0,3,"[181, 128]","[0.14803259374327438, 0.8359878170776642, 0.011698104102672899, 0.004281485076388493]",214.87828662070248,52.88073991145525,128.0,181.0,0.14803259374327438,0.8359878170776642,0.011698104102672899,0.004281485076388493,1275.7871864489998,3787.1386023948808
1,4,"[25, 319]","[0.03152955984435839, 0.9619706616489726, 0.0064997785066689805, 0.0]",214.8783502366556,52.88288543858101,319.0,25.0,0.03152955984435839,0.9619706616489726,0.0064997785066689805,0.0,1466.7871864489998,3631.1386023948808
2,5,"[206, 158]","[0.04254086249578924, 0.9109523927907026, 0.04650674471350816, 0.0]",214.8788412624304,52.88079850145271,158.0,206.0,0.04254086249578924,0.9109523927907026,0.04650674471350816,0.0,1305.7871864489998,3812.1386023948808
3,6,"[350, 249]","[0.0009920930954364236, 0.9990079069045635, 0.0, 0.0]",214.88127366198626,52.88059282316564,249.0,350.0,0.0009920930954364236,0.9990079069045635,0.0,0.0,1396.7871864489998,3956.1386023948808
4,7,"[102, 143]","[0.00036940487527823383, 0.9996305951247217, 0.0, 0.0]",214.87755720904647,52.88128380044863,143.0,102.0,0.00036940487527823383,0.9996305951247217,0.0,0.0,1290.7871864489998,3708.1386023948808
5,8,"[140, 265]","[0.019132968116478133, 0.9675548996358749, 0.013312132247646893, 0.0]",214.8791122914016,52.881880132116756,265.0,140.0,0.019132968116478133,0.9675548996358749,0.013312132247646893,0.0,1412.7871864489998,3746.1386023948808
6,9,"[334, 113]","[1.6572356654541925e-05, 0.9999834276433455, 0.0, 0.0]",214.87983016936482,52.87977983457073,113.0,334.0,1.6572356654541925e-05,0.9999834276433455,0.0,0.0,1260.7871864489998,3940.1386023948808
7,10,"[141, 137]","[0.0019576600361509615, 0.9965722866313333, 0.0014700533325157103, 0.0]",214.87793039489466,52.88102462809209,137.0,141.0,0.0019576600361509615,0.9965722866313333,0.0014700533325157103,0.0,1284.7871864489998,3747.1386023948808
8,11,"[139, 264]","[0.05069094550464707, 0.9368678798307267, 0.012441174664626202, 0.0]",214.87909196907597,52.88187911654547,264.0,139.0,0.05069094550464707,0.9368678798307267,0.012441174664626202,0.0,1411.7871864489998,3745.1386023948808
9,12,"[362, 44]","[1.6790881966358487e-05, 0.9999832091180336, 0.0, 0.0]",214.8794951937396,52.87916422688413,44.0,362.0,1.6790881966358487e-05,0.9999832091180336,0.0,0.0,1191.7871864489998,3968.1386023948808
10,13,"[77, 367]","[0.0011421307497749818, 0.998857869250225, 0.0, 0.0]",214.87936974258886,52.88291169179455,367.0,77.0,0.0011421307497749818,0.998857869250225,0.0,0.0,1514.7871864489998,3683.1386023948808
11,14,"[144, 249]","[0.054192312654146695, 0.9030719407782838, 0.042439384874549464, 0.00029636169302004183]",214.8790071868843,52.88175140152125,249.0,144.0,0.054192312654146695,0.9030719407782838,0.042439384874549464,0.00029636169302004183,1396.7871864489998,3750.1386023948808
12,15,"[371, 149]","[0.0004721079199383827, 0.9995278920800617, 0.0, 0.0]",214.88057274078588,52.879810764206034,149.0,371.0,0.0004721079199383827,0.9995278920800617,0.0,0.0,1296.7871864489998,3977.1386023948808
13,16,"[142, 80]","[0.0002970763247902089, 0.9997029236752097, 0.0, 0.0]",214.87741019958614,52.88064053817193,80.0,142.0,0.0002970763247902089,0.9997029236752097,0.0,0.0,1227.7871864489998,3748.1386023948808
14,17,"[180, 256]","[0.03817427389076604, 0.9444044470674677, 0.017356629183559964, 6.464985820628541e-05]",214.87946851647828,52.88159541193903,256.0,180.0,0.03817427389076604,0.9444044470674677,0.017356629183559964,6.464985820628541e-05,1403.7871864489998,3786.1386023948808
15,18,"[199, 261]","[0.02972168730189104, 0.9572250157991132, 0.013053296898995719, 0.0]",214.87972416206196,52.881521751742184,261.0,199.0,0.02972168730189104,0.9572250157991132,0.013053296898995719,0.0,1408.7871864489998,3805.1386023948808
16,19,"[276, 161]","[0.00010811716227539151, 0.9998918828377246, 0.0, 0.0]",214.8796393804475,52.88042473449835,161.0,276.0,0.00010811716227539151,0.9998918828377246,0.0,0.0,1308.7871864489998,3882.1386023948808
17,20,"[307, 376]","[0.0017930384361496856, 0.9981284449845188, 7.851657933150382e-05, 0.0]",214.881984202901,52.88167787767889,376.0,307.0,0.0017930384361496856,0.9981284449845188,7.851657933150382e-05,0.0,1523.7871864489998,3913.1386023948808
18,21,"[53, 206]","[0.11237617812776188, 0.8609332557200974, 0.026690566152140785, 0.0]",214.87760519742903,52.88197767798663,206.0,53.0,0.11237617812776188,0.8609332557200974,0.026690566152140785,0.0,1353.7871864489998,3659.1386023948808
19,22,"[373, 72]","[0.000310816275757879, 0.9996891837242421, 0.0, 0.0]",214.8798771525964,52.879288270203176,72.0,373.0,0.000310816275757879,0.9996891837242421,0.0,0.0,1219.7871864489998,3979.1386023948808
